survey_id;question_id;question_text;selection_decision;response_id;point_id;point_text;sentiment;category;confidence
panel_test_001;row_001;Ce que vous avez particulièrement apprécié :;analyze;bbd9d090-dd2b-42da-977f-fe8a4144b7b7;bbd9d090-dd2b-42da-977f-fe8a4144b7b7_pt_1;Petit groupe, tout le monde peu prendre la parole.;positive;pedagogie;
panel_test_001;row_001;Ce que vous avez particulièrement apprécié :;analyze;bbd9d090-dd2b-42da-977f-fe8a4144b7b7;bbd9d090-dd2b-42da-977f-fe8a4144b7b7_pt_2;Changement intervenant : changement de rythme et d'approche, stimulant au niveau attentionnel.;positive;pedagogie;
panel_test_001;row_002;Ce que je vais continuer;ignore;892b10ae-0e65-411a-b964-324e667e9b65;;;;;
panel_test_001;row_003;Ce que je vais commencer;ignore;5a898a5c-ab8f-4a7a-9d30-e9ca7c4d8279;;;;;
panel_test_001;row_004;Ce que je vais changer / cesser;ignore;6c499384-3ed2-4ceb-9176-0e9368af73fb;;;;;
panel_test_001;row_005;Les points d amélioration :;analyze;a4a128d4-7895-4c4d-b6e3-24bab7e82583;a4a128d4-7895-4c4d-b6e3-24bab7e82583_pt_1;soutenir les interventions orales par un powerpoint visuel sur écran partagé;neutral;pedagogie;
panel_test_001;row_005;Les points d amélioration :;analyze;a4a128d4-7895-4c4d-b6e3-24bab7e82583;a4a128d4-7895-4c4d-b6e3-24bab7e82583_pt_2;même schématique est à rendre indispensable pour tout intervenant;neutral;administratif;
panel_test_001;row_005;Les points d amélioration :;analyze;a4a128d4-7895-4c4d-b6e3-24bab7e82583;a4a128d4-7895-4c4d-b6e3-24bab7e82583_pt_3;fixe l'attention et borde la discussion;neutral;administratif;
panel_test_001;row_005;Les points d amélioration :;analyze;a4a128d4-7895-4c4d-b6e3-24bab7e82583;a4a128d4-7895-4c4d-b6e3-24bab7e82583_pt_4;surtout en classe virtuelle;neutral;administratif;
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_1;La pétillance de l'équipe est appréciable;positive;accueil;
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_2;La bienveillance est notée;positive;accueil;
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_3;L'interactive est valorisée;positive;pedagogie;
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_4;L'humour est apprécié;positive;pedagogie;
panel_test_001;row_006;Ce que vous avez particulièrement apprécié :;analyze;4bd9714b-ae84-4aad-85e1-11716564a355;4bd9714b-ae84-4aad-85e1-11716564a355_pt_5;L'inventivité de l'équipe est reconnue;positive;pedagogie;
